Taxa	SubjectID	Analysis4	Name	SNV	IgA+IgM-	IgM+IgA-	IgM+IgA+	IgA-IgM-IgG-
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F1-1	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F10-1	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.112116645717292	0.167360135690933	0.718916742474413	0.00160647611736215
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F10-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.439517475320948	0.0515477415760781	0.503259538464989	0.00567524463798492
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F11-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F12-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.118827610330554	0.643517169008337	0.118827610330554	0.118827610330554
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F12-3	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.0152488730471802	0.0152488730471802	0.95425338085846	0.0152488730471802
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F13-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.588166239281417	0.015357347563886	0.38111906559081	0.015357347563886
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F15-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.0050803947069383	0.0911048361884964	0.792017851026875	0.11179691807769
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F2-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F4-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.237297414347576	0.112133749948289	0.331336215450781	0.319232620253354
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F5-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.511363914090712	0.0158892103133323	0.37366018828953	0.0990866873064258
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F6-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.0463296299771286	0.000373702556582441	0.952922964909707	0.000373702556582441
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F7-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F8-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00293681536237985	0.570492748800982	0.211076843706521	0.215493592130118
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F9-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.0104507689403084	0.636645607800102	0.342452854319281	0.0104507689403084
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F9-3	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.447356447553593	0.186474329397389	0.223565543825091	0.142603679223927
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F1-1	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F10-1	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.878983375773411	0.00278552008192557	0.115445584062737	0.00278552008192557
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F10-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.888614147167488	0.0371286176108374	0.0371286176108374	0.0371286176108374
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F11-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0810836525037792	0.0464398560066436	0.843542201561484	0.0289342899280935
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F12-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0647749009887653	0.0647749009887653	0.805675297033704	0.0647749009887653
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F12-3	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0135598352554406	0.0135598352554406	0.959320494233678	0.0135598352554406
