Taxa	SubjectID	Analysis4	Name	SNV	IgG+IgM-	IgM+IgG-	IgG+IgM+	IgA-IgM-IgG-
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F1-1	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F1-2	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00133481178038045	0.0634537427214537	0.00133481178038045	0.933876633717785
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F10-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00578857310682716	0.483425287623337	0.504997566163009	0.00578857310682716
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F11-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.000619224392615496	0.00711332367426956	0.000619224392615496	0.991648227540499
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F12-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F12-3	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00420192015401763	0.00420192015401763	0.987394239537947	0.00420192015401763
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F13-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F15-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F4-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00125502426340338	0.0518696374402843	0.0124770175697649	0.934398320726547
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F5-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F6-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.000220809725208977	0.628200797453881	0.124453767124658	0.247124625696252
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F7-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F7-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F8-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F9-1	Neg_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.0033161194006226	0.818973313472915	0.17439444772584	0.0033161194006226
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F9-2	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00654119741183479	0.200391760168023	0.700587285392291	0.0924797570278508
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	F9-3	Pos_Stool	Actinobacteria Bifidobacterium	315ca0a729f126b941ba111a16d4d97a	0.00090376865085009	0.857187355966527	0.141005106731773	0.00090376865085009
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F1-1	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.25	0.25	0.25	0.25
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F1-2	Neg_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.000391248254813547	0.466831040702135	0.37780548183853	0.154972229204521
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F10-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0323100397234415	0.0323100397234415	0.903069880829676	0.0323100397234415
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F11-1	Neg_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0210593659884932	0.168697043429276	0.80789373686528	0.00234985371695133
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F12-2	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.0104597330507987	0.0104597330507987	0.968620800847604	0.0104597330507987
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F12-3	Pos_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.00319214448603347	0.00319214448603347	0.9904235665419	0.00319214448603347
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F13-1	Neg_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.00148515097313674	0.416498260942431	0.574155477112278	0.00786111097215412
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	F15-1	Neg_Stool	Actinobacteria Bifidobacterium	35ffcc3b809d667286737d79670b8de5	0.00130225151529762	0.0384576207740748	0.948394776448838	0.0118453512617895
