Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F03.2	Neg_Stool	0.884832291193201	0.115167708806799	0.115167708806799	NA	NA	NA	0.115167708806799
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F33.1	Neg_Stool	0.972812804820871	0.0271871951791292	0.0271871951791292	NA	NA	NA	0.0271871951791292
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F36.1	Neg_Stool	0.973472806252462	0.0265271937475383	0.0265271937475383	NA	NA	NA	0.0265271937475383
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F46.1	Neg_Stool	0.990566963333893	0.00943303666610692	0.00943303666610692	NA	NA	NA	0.00943303666610692
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F47.1	Neg_Stool	0.99431797959719	0.00568202040280984	0.00568202040280984	NA	NA	NA	0.00568202040280984
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F48.1	Neg_Stool	0.99816175559909	0.00183824440090957	0.00183824440090957	NA	NA	NA	0.00183824440090957
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F49.1	Neg_Stool	0.820007608218481	0.179992391781519	0.179992391781519	NA	NA	NA	0.179992391781519
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F51.1	Neg_Stool	0.994869799250343	0.00513020074965702	0.00513020074965702	NA	NA	NA	0.00513020074965702
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F52.1	Neg_Stool	0.987089370542613	0.0129106294573866	0.0129106294573866	NA	NA	NA	0.0129106294573866
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F54.1	Neg_Stool	0.998593674799284	0.0014063252007165	0.0014063252007165	NA	NA	NA	0.0014063252007165
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F59.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F59.2	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	F63.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F03.2	Neg_Stool	0.939871587461574	0.0601284125384257	0.0601284125384257	NA	NA	NA	0.0601284125384257
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F33.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F36.1	Neg_Stool	0.927397767238954	0.0726022327610464	0.0726022327610464	NA	NA	NA	0.0726022327610464
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F46.1	Neg_Stool	0.957514224719906	0.0424857752800942	0.0424857752800942	NA	NA	NA	0.0424857752800942
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F47.1	Neg_Stool	0.951337317907593	0.048662682092407	0.048662682092407	NA	NA	NA	0.048662682092407
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F48.1	Neg_Stool	0.620761705016638	0.379238294983362	0.379238294983362	NA	NA	NA	0.379238294983362
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F49.1	Neg_Stool	0.97084064889775	0.02915935110225	0.02915935110225	NA	NA	NA	0.02915935110225
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F51.1	Neg_Stool	0.968032905502456	0.0319670944975438	0.0319670944975438	NA	NA	NA	0.0319670944975438
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F52.1	Neg_Stool	0.93086823826612	0.0691317617338801	0.0691317617338801	NA	NA	NA	0.0691317617338801
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F54.1	Neg_Stool	0.867966954443163	0.132033045556837	0.132033045556837	NA	NA	NA	0.132033045556837
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F59.1	Neg_Stool	0.962983205613952	0.037016794386048	0.037016794386048	NA	NA	NA	0.037016794386048
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F59.2	Neg_Stool	0.567692767808484	0.432307232191516	0.432307232191516	NA	NA	NA	0.432307232191516
Bacteroidetes Bacteroides 9d5054752ed33d6a22bd0f96b5618b1c	9d5054752ed33d6a22bd0f96b5618b1c	Bacteroidetes Bacteroides	F63.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F03.2	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F33.1	Neg_Stool	0.98400593217994	0.0159940678200601	0.0159940678200601	NA	NA	NA	0.0159940678200601
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F36.1	Neg_Stool	0.911938603748649	0.0880613962513511	0.0880613962513511	NA	NA	NA	0.0880613962513511
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F46.1	Neg_Stool	0.781558891658814	0.218441108341186	0.218441108341186	NA	NA	NA	0.218441108341186
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F47.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F48.1	Neg_Stool	0.994209083389546	0.005790916610454	0.005790916610454	NA	NA	NA	0.005790916610454
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F49.1	Neg_Stool	0.946142948609737	0.053857051390263	0.053857051390263	NA	NA	NA	0.053857051390263
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F51.1	Neg_Stool	0.878163178905131	0.121836821094869	0.121836821094869	NA	NA	NA	0.121836821094869
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F52.1	Neg_Stool	0.172370072255913	0.827629927744087	0.827629927744087	NA	NA	NA	0.827629927744087
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F54.1	Neg_Stool	0.129560294660054	0.870439705339946	0.870439705339946	NA	NA	NA	0.870439705339946
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F59.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F59.2	Neg_Stool	0.580434711759337	0.419565288240663	0.419565288240663	NA	NA	NA	0.419565288240663
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	F63.1	Neg_Stool	0.816455117026961	0.183544882973039	0.183544882973039	NA	NA	NA	0.183544882973039
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	F03.2	Neg_Stool	0.977902454036692	0.0220975459633077	0.0220975459633077	NA	NA	NA	0.0220975459633077
