Taxa	SNV	Name	Analysis4	meanG	seG	meanM	seM	target	Name_lumped	forShape
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	315ca0a729f126b941ba111a16d4d97a	Actinobacteria Bifidobacterium	Pos_Stool	0.473214524646752	0.0702955409052733	0.836912157160922	0.049140266932418	IgM+	Other	IgM+.Pos_Stool
Actinobacteria Bifidobacterium 315ca0a729f126b941ba111a16d4d97a	315ca0a729f126b941ba111a16d4d97a	Actinobacteria Bifidobacterium	Neg_Stool	0.300772489338854	0.0578867520225511	0.494453741152375	0.0812063776815028	IgM+	Other	IgM+.Neg_Stool
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	35ffcc3b809d667286737d79670b8de5	Actinobacteria Bifidobacterium	Pos_Stool	0.679490166231292	0.0805692127653067	0.888559258864128	0.0523259716853921	IgM+	Other	IgM+.Pos_Stool
Actinobacteria Bifidobacterium 35ffcc3b809d667286737d79670b8de5	35ffcc3b809d667286737d79670b8de5	Actinobacteria Bifidobacterium	Neg_Stool	0.534001696798589	0.0757541907222935	0.829068911640334	0.0685202576447156	IgM+	Other	IgM+.Neg_Stool
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	35cbb315e019e0a8768d4b73862df415	Actinobacteria Collinsella	Pos_Stool	0.444291766940861	0.0637476996459723	0.686129765672605	0.0481998156197948	IgM+	Other	IgM+.Pos_Stool
Actinobacteria Collinsella 35cbb315e019e0a8768d4b73862df415	35cbb315e019e0a8768d4b73862df415	Actinobacteria Collinsella	Neg_Stool	0.427738287997355	0.072619594441886	0.577282507847748	0.0655803333738914	IgM+	Other	IgM+.Neg_Stool
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	Pos_Stool	0.316322468268646	0.082530684330661	0.371221383799895	0.0741783198744567	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Alistipes 332a6411ff00b4010ac2397f504c4695	332a6411ff00b4010ac2397f504c4695	Bacteroidetes Alistipes	Neg_Stool	0.251286724045976	0.0922882567131809	0.234673416621023	0.0674070430374905	None	Other	None.Neg_Stool
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	742e1f191223f58590661de80b9d6e3b	Bacteroidetes Alistipes	Pos_Stool	0.512956073981468	0.0821051101230203	0.631867987907353	0.0653736773138323	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Alistipes 742e1f191223f58590661de80b9d6e3b	742e1f191223f58590661de80b9d6e3b	Bacteroidetes Alistipes	Neg_Stool	0.510658107619722	0.088139658985034	0.382382378657396	0.0716182624852661	None	Other	None.Neg_Stool
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	8795c5a86013864dc11f24b89e8cdd8c	Bacteroidetes Alistipes	Pos_Stool	0.422429766031818	0.0764215596876932	0.505274325904586	0.07658782932882	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Alistipes 8795c5a86013864dc11f24b89e8cdd8c	8795c5a86013864dc11f24b89e8cdd8c	Bacteroidetes Alistipes	Neg_Stool	0.374122071544165	0.0653409879540952	0.496154598957751	0.0814397634368271	IgM+	Other	IgM+.Neg_Stool
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	1b8dec58597978264025b9eba656ffb5	Bacteroidetes Bacteroides	Pos_Stool	0.367905261487839	0.0650412316230816	0.499996909361368	0.0581902461172021	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 1b8dec58597978264025b9eba656ffb5	1b8dec58597978264025b9eba656ffb5	Bacteroidetes Bacteroides	Neg_Stool	0.389644232546982	0.0890292294259473	0.485417031245638	0.0737557327328583	None	Bacteroidetes Bacteroides	None.Neg_Stool
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	2c982937754e6321f861027032db80f7	Bacteroidetes Bacteroides	Pos_Stool	0.530830147592489	0.0743322176006744	0.698099857204078	0.0632483040355933	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 2c982937754e6321f861027032db80f7	2c982937754e6321f861027032db80f7	Bacteroidetes Bacteroides	Neg_Stool	0.643357923401168	0.089091048842033	0.543879698643481	0.0653066108656927	None	Bacteroidetes Bacteroides	None.Neg_Stool
Bacteroidetes Bacteroides 333bbf9224442fc10cd497377d2b1d01	333bbf9224442fc10cd497377d2b1d01	Bacteroidetes Bacteroides	Pos_Stool	0.432011150072193	0.0588687534691041	0.581240096171281	0.0528332278146566	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides 333bbf9224442fc10cd497377d2b1d01	333bbf9224442fc10cd497377d2b1d01	Bacteroidetes Bacteroides	Neg_Stool	0.401381049854801	0.0729352421092783	0.472180692814888	0.0558096928476671	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
