SampleID	SubjectID	Household	Analysis4	shannon
IDAHO.003.1	F1-1	F03	Pos_Stool	3.76741443446865
IDAHO.003.2	F1-2	F03	Neg_Stool	4.15991141414281
IDAHO.011.1	F2-1	F11	Pos_Stool	1.22461348707465
IDAHO.011.2	F2-2	F11	Pos_Stool	2.73941939409542
IDAHO.014.1	F3-1	F14	Neg_Stool	3.48941348551124
IDAHO.014.2	F3-2	F14	Neg_Stool	3.43290440756618
IDAHO.033.1	F4-1	F33	Neg_Stool	4.07662112491205
IDAHO.033.2	F4-2	F33	Pos_Stool	2.65174313579312
IDAHO.036.1	F5-1	F36	Neg_Stool	3.83181857048982
IDAHO.036.2	F5-2	F36	Pos_Stool	3.87855737629562
IDAHO.046.1	F6-1	F46	Neg_Stool	3.97683801161322
IDAHO.046.2	F6-2	F46	Pos_Stool	3.08499800572244
IDAHO.047.1	F7-1	F47	Neg_Stool	3.59220812728582
IDAHO.047.2	F7-2	F47	Pos_Stool	3.8595204851474
IDAHO.048.1	F8-1	F48	Neg_Stool	3.80093673180684
IDAHO.048.2	F8-2	F48	Pos_Stool	3.82501257639051
IDAHO.049.1	F9-1	F49	Neg_Stool	3.36057339734321
IDAHO.049.2	F9-2	F49	Pos_Stool	4.08987323538155
IDAHO.049.3	F9-3	F49	Pos_Stool	3.3408013883217
IDAHO.050.1	F10-1	F50	Pos_Stool	3.56377311898423
IDAHO.050.2	F10-2	F50	Pos_Stool	3.28237596138877
IDAHO.051.1	F11-1	F51	Neg_Stool	3.71910491422892
IDAHO.051.2	F11-2	F51	Pos_Stool	3.69861074198969
IDAHO.052.1	F12-1	F52	Neg_Stool	3.75685740076642
IDAHO.052.2	F12-2	F52	Pos_Stool	3.69662178759964
IDAHO.052.3	F12-3	F52	Pos_Stool	3.72736849051763
IDAHO.054.1	F13-1	F54	Neg_Stool	3.44151886718831
IDAHO.054.2	F13-2	F54	Pos_Stool	3.7929586107085
IDAHO.059.1	F14-1	F59	Neg_Stool	2.6767576990563
IDAHO.059.2	F14-2	F59	Neg_Stool	3.60916524198793
IDAHO.063.1	F15-1	F63	Neg_Stool	3.32102571961184
IDAHO.063.2	F15-2	F63	Pos_Stool	2.52716127574772
